Investor,Count
Accel,64
Andreessen Horowitz,59
Tiger Global Management,56
Sequoia Capital,53
Insight Partners,53
Sequoia Capital China,48
General Catalyst,41
Lightspeed Venture Partners,40
SoftBank Group,35
Index Ventures,32
General Atlantic,31
Tencent Holdings,31
Bessemer Venture Partners,29
IDG Capital,27
Google Ventures,27
New Enterprise Associates,25
Coatue Management,24
Y Combinator,23
Sequoia Capital India,23
DST Global,22
Kleiner Perkins Caufield & Byers,22
Khosla Ventures,20
Founders Fund,19
Battery Ventures,18
Norwest Venture Partners,17
Thrive Capital,17
Qiming Venture Partners,17
GGV Capital,17
Greylock Partners,16
Goldman Sachs,16
CRV,15
Bain Capital Ventures,15
Redpoint Ventures,13
Greycroft,12
Institutional Venture Partners,12
Matrix Partners China,12
Warburg Pincus,12
Benchmark,12
Qualcomm Ventures,12
BlackRock,11
Blackstone,11
Hillhouse Capital Management,11
Global Founders Capital,11
KKR,10
Technology Crossover Ventures,10
Temasek,10
Venrock,10
Spark Capital,10
Foundation Capital,10
Ribbit Capital,10
Initialized Capital,9
FirstMark Capital,9
Salesforce Ventures,9
Matrix Partners,9
ICONIQ Capital,9
DCM Ventures,9
QED Investors,8
Zeev Ventures,8
Alibaba Group,8
Atomico,8
Coinbase Ventures,8
M12,8
Menlo Ventures,8
8VC,8
Softbank Group,8
Madrona Venture Group,8
Sound Ventures,7
Shunwei Capital Partners,7
Valar Ventures,7
Nexus Venture Partners,7
Fifth Wall Ventures,7
Scale Venture Partners,7
ZhenFund,7
Caffeinated Capital,7
Pitango Venture Capital,7
Advent International,7
Intel Capital,7
Balderton Capital,7
Tencent,6
GS Growth,6
Kaszek Ventures,6
Georgian Partners,6
Jump Capital,6
Creandum,6
Paradigm,6
Summit Partners,6
D1 Capital Partners,6
Dell Technologies Capital,6
capitalG,6
Union Square Ventures,6
Data Collective,6
Northzone Ventures,6
Matrix Partners India,5
Accomplice,5
T. Rowe Price,5
Viking Global Investors,5
Craft Ventures,5
Silversmith Capital Partners,5
Forerunner Ventures,5
Accel Partners,5
Eurazeo,5
Baidu,5
Pantera Capital,5
Source Code Capital,5
Meritech Capital Partners,5
Left Lane Capital,5
Threshold Ventures,5
American Express Ventures,5
Trinity Ventures,5
Aleph,5
Lux Capital,5
Silver Lake,5
Alven Capital,5
Two Sigma Ventures,5
Upfront Ventures,5
Uncork Capital,5
Monashees+,5
Linear Venture,5
Prosus Ventures,5
Polychain Capital,5
Bond,5
Breakthrough Energy Ventures,4
The Carlyle Group,4
Insight Venture Partners,4
March Capital Partners,4
IA Ventures,4
SignalFire,4
BMW i Ventures,4
IDInvest Partners,4
Foundry Group,4
Shenzhen Capital Group,4
Goodwater Capital,4
Chiratae Ventures,4
WestBridge Capital,4
Sierra Ventures,4
Comcast Ventures,4
Jackson Square Ventures,4
Commerce Ventures,4
OMERS Ventures,4
Citi Ventures,4
Ignition Partners,4
Eight Roads Ventures,4
PayPal Ventures,4
Lerer Hippeau,4
Horizons Ventures,4
Endeavor,4
Goldman Sachs Asset Management,4
Canaan Partners,4
Stripes Group,4
Crosslink Capital,4
Felicis Ventures,4
Capital Today,4
Highland Capital Partners,4
Munich Re Ventures,4
F-Prime Capital,4
Clocktower Technology Ventures,4
Sutter Hill Ventures,4
Addition,4
Eastern Bell Capital,4
Lakestar,4
83North,4
Sapphire Ventures,4
Temasek Holdings,4
Storm Ventures,4
CDH Investments,3
Passion Capital,3
Access Industries,3
500 Startups,3
Blue Cloud Ventures,3
Northern Light Venture Capital,3
Legend Capital,3
Altimeter Capital,3
Mayfield Fund,3
Greenoaks Capital Management,3
Blackbird Ventures,3
Oak HC/FT Partners,3
WestCap Group,3
Novator Partners,3
GSV Ventures,3
Elevation Capital,3
DFJ Growth Fund,3
